# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-175.9487922902077,0.0,-0.4482310052883583,-2.230992475312311,0.0,0.0
 0.15725904260508575,0.012365203240534084,0.07862952130254286,0.4999999999999999,-175.9487922902077,0.0,-0.4482310052883583,-2.230992475312311,0.0,0.0
 0.2242719087969257,0.02514894453770828,0.19076547570100574,1.6733496233014054,-176.2717271064482,0.0,-0.4024134378246362,-2.4850064784262504,-4.818997225338525,-71.9115223566624
 0.276940413046077,0.038347996189065876,0.2506061609215014,1.1361759000676368,-176.57126477073106,0.0,-0.3626103869652313,-2.7577809018909445,-5.687225573483027,-16.48477321545527
 0.3223634149551001,0.05195908565075703,0.2996519140005884,1.0797558729676173,-176.84976939127876,0.0,-0.32786643528027826,-3.050022485970987,-6.1313565559911964,-9.777666905364617
 0.36325996592022675,0.06597890142018213,0.34281169043766324,1.0553402528706672,-177.10929790548303,0.0,-0.2974022487139868,-3.3624493571388725,-6.345975591574365,-5.247851726327209
 0.4010089724424384,0.08040409798967015,0.3821344691813328,1.041690427548919,-177.3516480790967,0.0,-0.2705779586315197,-3.695792536308646,-6.420041106805597,-1.9620520393735819
 0.43642021044195106,0.09523130004109842,0.4187145914421948,1.0330088505057462,-177.57839783026574,0.0,-0.24686496605787533,-4.050797551263547,-6.403327417475637,0.47198828039250124
 0.47001511894059417,0.11045710601637043,0.45321766469127245,1.027032809167235,-177.79093764343898,0.0,-0.2258240581046496,-4.428226152665222,-6.326548357225475,2.2854373975527666
 0.5021515531621323,0.12607809117157093,0.4860833360513641,1.0226919120374829,-177.9904974418939,0.0,-0.20708829444565582,-4.828858157709249,-6.209767925066581,3.633895140756655
 0.5330868788510826,0.14209081020159445,0.5176192160066075,1.0194132194479413,-178.17816898780944,0.0,-0.1903495295390912,-5.253493415094754,-6.066577342762382,4.62870776742285
 0.563012965224602,0.15849179950549946,0.5480499220378424,1.016862200135934,-178.3549246507681,0.0,-0.17534772577576424,-5.702953919566691,-5.906407565376573,5.352179212031479
 0.5920769868014395,0.175277579149936,0.5775449760130205,1.0148304458555741,-178.52163321043457,0.0,-0.1618624258299219,-6.178086080649484,-5.735908199273959,5.8663377210844025
 0.62039447866251,0.1924446545774638,0.6062357327319751,1.0131814236838286,-178.67907322381052,0.0,-0.14970590660552946,-6.679763161482798,-5.559814906925881,6.218534226548594
 0.6480578957138204,0.20998951809851252,0.6342261871881654,1.011822017658673,-178.8279443822754,0.0,-0.1387176514863215,-7.208887904929725,-5.38151733709468,6.445247508667964
 0.6751424297123564,0.22790865019895207,0.6616001627130882,1.0106865979825432,-178.968877201116,0.0,-0.12875986253068325,-7.766395368445674,-5.2034426306975075,6.574774607781635
 0.7017100835671227,0.24619852068988923,0.6884262566397407,1.0097276211628965,-179.10244131935625,0.0,-0.11971379797333848,-8.35325598994621,-5.027320777755718,6.629183514079568
 0.7278125991242382,0.2648555897219896,0.7147613413456794,1.0089098366138045,-179.2291526361789,0.0,-0.1114767687437836,-8.970478883348187,-4.854371853370363,6.625756969933467
 0.7534936080458714,0.2838763086829927,0.7406531035850555,1.008206582474471,-179.34947946925777,0.0,-0.10395966301549134,-9.619115443371406,-4.685440258444031,6.578074694878028
 0.7787902426124468,0.30325712099417695,0.766141925329161,1.0075973417343052,-179.46384788738777,0.0,-0.09708489752334604,-10.300263228475156,-4.521092235768051,6.4968334915639
 0.8037343626088344,0.32299446281911476,0.7912623026106427,1.0070660855191362,-179.57264634339612,0.0,-0.0907847143656959,-11.015070179896519,-4.361687484830825,6.390474025955243
 0.8283535038811125,0.34308476369605834,0.8160439332449756,1.0066001230610644,-179.676229711819,0.0,-0.08499975893838498,-11.76473924737698,-4.207432228333284,6.265663566065911
 0.8526716215561372,0.3635244471035864,0.8405125627186238,1.0061892865490225,-179.77492281848254,0.0,-0.07967788869424829,-12.550533358600239,-4.058418829221996,6.127669957955993
 0.8767096793897645,0.384309930967852,0.8646906504729494,1.0058253425325518,-179.86902353482972,0.0,-0.0747731702244808,-13.373780956429197,-3.9146555432404258,5.980653136646376
 0.900486122178938,0.40543762811843076,0.8885979007843517,1.0055015598165298,-179.9588054981971,0.0,-0.07024503335461046,-14.235881915690856,-3.776088970226191,5.827893358266806
 0.9240172581710595,0.42690394669898135,0.9122516901749979,1.0052123874752856,179.95547949037777,0.0,-0.06605755378195761,-15.138314132866531,15295.23628222105,650160.3822405151
 0.9473175713961439,0.4487052905379443,0.935667414783603,1.004953211675993,179.87359934719203,0.0,-0.062178843497147786,-16.08264071437532,-3.514121994617502,-656589.9031668594
 0.9703999788580744,0.47083805948387575,0.9588587751271083,1.0047201697550157,179.79533982873792,0.0,-0.058580530943562414,-17.070517864773517,-3.390440038941147,5.358277982066758
 0.9932760439167055,0.49329864970941073,0.9818380113873905,1.0045100064799874,179.7205028648573,0.0,-0.055237316303522695,-18.103703563459078,-3.2714089459347018,5.203302783995845
 1.0159561545532205,0.5160834539872837,1.0046160992349593,1.0043199617772642,179.6489050752912,0.0,-0.052126589734365694,-19.184067192884598,-3.1568536288746305,5.050915266508315
 1.0384496732547877,0.5391888619414876,1.0272029139040015,1.0041476822151705,179.5803764465258,0.0,-0.04922810311619121,-20.313600092202176,-3.046594429024745,4.901820889508209
